task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch
5	ad/6bafa4	3003039	txt_reader	EV_004.txt	txt_reader (EV_004.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:21.546	2026-02-04 11:34:21.572	2026-02-04 11:34:22.081	535ms	321ms	-	63.6%	0.0%	3.4 MB	7.2 MB	3.4 MB	7.2 MB	6.8 MB	19.1 KB	898	33	0	32 KB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/ad/6bafa491ac7b4683171ac0c94b366c	-
3	cf/e617d7	3003064	txt_reader	EV_008.txt	txt_reader (EV_008.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:21.582	2026-02-04 11:34:21.672	2026-02-04 11:34:22.126	544ms	309ms	-	59.5%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.8 MB	19.2 KB	897	33	0	32 KB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/cf/e617d7a19f2367ecfb7bf267a53592	-
9	62/8a2cc5	3003204	txt_reader	EV_002.txt	txt_reader (EV_002.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:21.714	2026-02-04 11:34:21.772	2026-02-04 11:34:22.399	685ms	359ms	-	48.8%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	6.8 MB	19.2 KB	897	33	0	32 KB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/62/8a2cc502ecf921bef7fb2757bde3b0	-
2	f7/607af1	3003267	txt_reader	EV_007.txt	txt_reader (EV_007.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:21.842	2026-02-04 11:34:21.972	2026-02-04 11:34:22.784	942ms	404ms	-	48.7%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	6.8 MB	19.2 KB	897	33	0	32 KB	6	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/f7/607af19ed3cdf389a4a9684f29c4dc	-
7	4a/1a21bb	3003469	txt_reader	EV_003.txt	txt_reader (EV_003.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:22.169	2026-02-04 11:34:22.327	2026-02-04 11:34:23.367	1.2s	641ms	-	29.3%	0.0%	3.1 MB	7.2 MB	3.1 MB	7.2 MB	6.8 MB	19.2 KB	899	34	0	24 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/4a/1a21bb75c964f7bde9eb5580a9292f	-
11	ed/10215f	3003607	tree_processor	EV_004_txt.parquet	tree_processor (EV_004_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:22.542	2026-02-04 11:34:22.699	2026-02-04 11:34:24.195	1.7s	854ms	-	31.4%	0.0%	3.1 MB	7.2 MB	3.1 MB	7.2 MB	6.5 MB	19.8 KB	1005	79	0	24 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/ed/10215f447ed9d8b68741b1ae33a747	-
12	bd/2c15d2	3003706	tree_processor	EV_008_txt.parquet	tree_processor (EV_008_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:23.021	2026-02-04 11:34:23.184	2026-02-04 11:34:24.614	1.6s	815ms	-	32.8%	0.0%	2.8 MB	7.2 MB	2.8 MB	7.2 MB	6.5 MB	19.9 KB	1003	79	0	24 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/bd/2c15d2e5b7ee9f56082ca01f8bbdae	-
13	89/66b91b	3003847	tree_processor	EV_002_txt.parquet	tree_processor (EV_002_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:23.569	2026-02-04 11:34:23.768	2026-02-04 11:34:25.491	1.9s	1.1s	-	24.0%	0.0%	3.4 MB	7.2 MB	3.4 MB	7.2 MB	6.5 MB	19.8 KB	1004	83	0	24 KB	54	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/89/66b91bf74bdf0e55bf9f3ea88beec0	-
14	fe/8e0b39	3004060	tree_processor	EV_007_txt.parquet	tree_processor (EV_007_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:24.394	2026-02-04 11:34:24.715	2026-02-04 11:34:26.860	2.5s	1.3s	-	22.2%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	6.5 MB	19.9 KB	1004	81	0	24 KB	33	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/fe/8e0b39c598bdacc7fff0934022b650	-
15	0f/25922f	3004085	tree_processor	EV_003_txt.parquet	tree_processor (EV_003_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:24.847	2026-02-04 11:34:25.216	2026-02-04 11:34:27.319	2.5s	1.2s	-	22.6%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.5 MB	19.6 KB	1005	81	0	24 KB	43	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/0f/25922f014f2e10f2e91b9c14863ebd	-
16	4d/200896	3004309	bisbas_analyzer	EV_004_txt_tree.parquet	bisbas_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:25.730	2026-02-04 11:34:25.892	2026-02-04 11:34:28.110	2.4s	1.2s	-	17.9%	0.0%	3.4 MB	7.2 MB	3.4 MB	7.2 MB	6.6 MB	5.7 KB	939	47	92 KB	8 KB	21	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/4d/200896f15b1b74fc918f4520a19138	-
19	ac/da8a5a	3004579	panas_analyzer	EV_004_txt_tree.parquet	panas_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:27.187	2026-02-04 11:34:27.419	2026-02-04 11:34:29.694	2.5s	1.2s	-	21.8%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	6.6 MB	5.8 KB	938	47	0	8 KB	25	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/ac/da8a5af02228b79fd707ae827e3d5e	-
20	5c/52c099	3004654	be7_analyzer	EV_004_txt_tree.parquet	be7_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:27.740	2026-02-04 11:34:28.111	2026-02-04 11:34:30.841	3.1s	2.1s	-	14.5%	0.2%	72.4 MB	3.1 GB	72.4 MB	3.1 GB	6.6 MB	18.5 KB	1009	80	0	20 KB	62	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/5c/52c099ac4cc19977eb564391723fe9	-
18	79/46d176	3004738	sam_analyzer	EV_004_txt_tree.parquet	sam_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:28.318	2026-02-04 11:34:28.511	2026-02-04 11:34:31.421	3.1s	2s	-	12.8%	0.2%	72.2 MB	3.1 GB	72.2 MB	3.1 GB	6.6 MB	18.1 KB	1009	80	0	40 KB	70	1	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/79/46d1760e705db026a820e15524a434	-
17	81/c79f9b	3005172	ea11_analyzer	EV_004_txt_tree.parquet	ea11_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:30.010	2026-02-04 11:34:30.196	2026-02-04 11:34:32.847	2.8s	2s	-	13.6%	0.2%	72.9 MB	3 GB	72.9 MB	3.1 GB	6.6 MB	18.8 KB	1008	82	0	24 KB	83	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/81/c79f9b2662b677a6cc74d82790ee4e	-
23	3b/eb8757	3005550	panas_analyzer	EV_008_txt_tree.parquet	panas_analyzer (EV_008_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:31.742	2026-02-04 11:34:31.923	2026-02-04 11:34:33.403	1.7s	882ms	-	22.5%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.6 MB	5.8 KB	939	48	0	8 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/3b/eb875704cd4db1136068f684b835a2	-
25	9c/dd0773	3005398	be7_analyzer	EV_008_txt_tree.parquet	be7_analyzer (EV_008_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:31.082	2026-02-04 11:34:31.242	2026-02-04 11:34:34.076	3s	1.8s	-	17.7%	0.2%	72.8 MB	3 GB	72.8 MB	3.1 GB	6.6 MB	18.5 KB	1009	81	0	20 KB	76	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/9c/dd0773e0f82257770fba507a650a5c	-
