task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch
1	02/3a5176	829042	deap_bootstrap	kaggle_config.parquet	deap_bootstrap (kaggle_config.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:34.945	2026-06-30 13:13:34.981	2026-06-30 13:13:36.002	1.1s	985ms	-	44.4%	0.0%	3.7 MB	7.3 MB	3.7 MB	7.3 MB	11.8 MB	63.9 KB	1719	126	0	128 KB	6	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/02/3a5176fcefd1c10109caba3d8842ce	-
17	f2/e8dbde	829202	deap_ingestor	EV2_16_dat_path.parquet	deap_ingestor (EV2_16_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:36.153	2026-06-30 13:13:36.203	2026-06-30 13:13:40.412	4.3s	4.2s	-	166.2%	1.3%	424.9 MB	4.1 GB	424.9 MB	4.1 GB	107.1 MB	43.8 MB	1037	339	0	43.9 MB	59	165	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/f2/e8dbdefbfb85366fff69b3ed7f61a3	-
3	e0/525ea5	829535	deap_ingestor	EV2_02_dat_path.parquet	deap_ingestor (EV2_02_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:36.299	2026-06-30 13:13:36.407	2026-06-30 13:13:41.296	5s	4.9s	-	138.0%	1.4%	433.9 MB	4.1 GB	433.9 MB	4.1 GB	107.1 MB	43.8 MB	1036	338	0	43.8 MB	145	107	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/e0/525ea500adde367a5fbe53e2a78726	-
4	86/f210c0	829197	deap_ingestor	EV2_03_dat_path.parquet	deap_ingestor (EV2_03_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:36.131	2026-06-30 13:13:36.203	2026-06-30 13:13:41.488	5.4s	5.2s	-	117.9%	1.3%	424.3 MB	4.1 GB	424.3 MB	4.1 GB	107.1 MB	44 MB	1036	338	72.6 MB	44 MB	103	120	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/86/f210c0d475f3b49a8e5011601b0431	-
11	e0/139a5b	829218	deap_ingestor	EV2_10_dat_path.parquet	deap_ingestor (EV2_10_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:36.170	2026-06-30 13:13:36.204	2026-06-30 13:13:41.492	5.3s	5.2s	-	125.6%	1.3%	424.8 MB	4.1 GB	424.8 MB	4.1 GB	107.1 MB	43.7 MB	1037	338	78.9 MB	43.8 MB	148	264	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/e0/139a5b3ade4842922886fd95d4b188	-
16	af/f67b2c	829482	deap_ingestor	EV2_15_dat_path.parquet	deap_ingestor (EV2_15_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:36.268	2026-06-30 13:13:36.308	2026-06-30 13:13:41.510	5.2s	5.1s	-	137.2%	1.3%	425.5 MB	4.1 GB	425.5 MB	4.1 GB	107.1 MB	44 MB	1036	338	0	44.1 MB	95	138	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/af/f67b2c806e09ca861202e371f1257e	-
13	09/c0571b	829277	deap_ingestor	EV2_12_dat_path.parquet	deap_ingestor (EV2_12_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:36.187	2026-06-30 13:13:36.204	2026-06-30 13:13:41.518	5.3s	5.2s	-	124.7%	1.3%	424 MB	4.1 GB	424 MB	4.1 GB	107.1 MB	43.8 MB	1036	338	9.7 MB	43.8 MB	86	119	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/09/c0571b790e48f192493d8a013f71f4	-
8	84/333c3f	829426	deap_ingestor	EV2_07_dat_path.parquet	deap_ingestor (EV2_07_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:36.234	2026-06-30 13:13:36.306	2026-06-30 13:13:41.715	5.5s	5.3s	-	129.4%	1.3%	424 MB	4.1 GB	424 MB	4.1 GB	107.1 MB	43.5 MB	1038	338	0	43.5 MB	57	81	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/84/333c3f414a21a4830654c36783b39d	-
6	f0/6323d3	829352	deap_ingestor	EV2_05_dat_path.parquet	deap_ingestor (EV2_05_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:36.208	2026-06-30 13:13:36.305	2026-06-30 13:13:41.760	5.6s	5.3s	-	114.8%	1.3%	424.1 MB	4.1 GB	424.1 MB	4.1 GB	107.1 MB	44.1 MB	1036	338	88.1 MB	44.1 MB	90	98	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/f0/6323d3745de4425283585a90c95d43	-
14	5e/61eb7e	831547	deap_ingestor	EV2_13_dat_path.parquet	deap_ingestor (EV2_13_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:40.432	2026-06-30 13:13:40.512	2026-06-30 13:13:43.916	3.5s	3.4s	-	116.4%	1.4%	433.5 MB	4.1 GB	433.5 MB	4.1 GB	107.1 MB	43.5 MB	1036	338	128 KB	43.5 MB	181	124	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/5e/61eb7e41ea1e1a90e03565291cb9f3	-
15	1b/1f93c5	832050	deap_ingestor	EV2_14_dat_path.parquet	deap_ingestor (EV2_14_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:41.321	2026-06-30 13:13:41.396	2026-06-30 13:13:45.132	3.8s	3.6s	-	113.1%	1.4%	430.2 MB	4.1 GB	430.2 MB	4.1 GB	107.1 MB	44 MB	1037	338	0	44 MB	193	125	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/1b/1f93c5abe51cb0034e54884bf08d07	-
5	ae/690124	832364	deap_ingestor	EV2_04_dat_path.parquet	deap_ingestor (EV2_04_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:41.576	2026-06-30 13:13:41.621	2026-06-30 13:13:45.297	3.7s	3.6s	-	100.6%	1.4%	429.5 MB	4.1 GB	429.5 MB	4.1 GB	107.1 MB	43.8 MB	1036	338	64 KB	43.8 MB	130	95	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/ae/690124510b8757610d6cedf39f05ba	-
10	e5/427062	832258	deap_ingestor	EV2_09_dat_path.parquet	deap_ingestor (EV2_09_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:41.553	2026-06-30 13:13:41.621	2026-06-30 13:13:45.309	3.8s	3.6s	-	103.8%	1.4%	429.6 MB	4.1 GB	429.6 MB	4.1 GB	107.1 MB	43.8 MB	1036	340	95.6 MB	43.8 MB	140	76	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/e5/4270622723012e39324fea9f371f32	-
12	41/e0edb2	832423	deap_ingestor	EV2_11_dat_path.parquet	deap_ingestor (EV2_11_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:41.596	2026-06-30 13:13:41.622	2026-06-30 13:13:45.395	3.8s	3.7s	-	106.3%	1.4%	430.4 MB	4.1 GB	430.4 MB	4.1 GB	107.1 MB	43.8 MB	1037	338	0	43.8 MB	130	105	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/41/e0edb245a361f9f73e2b1cde6e8706	-
2	df/309ac8	832243	deap_ingestor	EV2_01_dat_path.parquet	deap_ingestor (EV2_01_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:41.523	2026-06-30 13:13:41.618	2026-06-30 13:13:45.410	3.9s	3.8s	-	102.0%	1.3%	425.6 MB	4.1 GB	425.6 MB	4.1 GB	107.1 MB	43.7 MB	1037	341	83 MB	43.7 MB	114	90	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/df/309ac8a1c60046b41946c90380667c	-
9	c5/9e3653	832745	deap_ingestor	EV2_08_dat_path.parquet	deap_ingestor (EV2_08_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:41.786	2026-06-30 13:13:41.860	2026-06-30 13:13:45.664	3.9s	3.7s	-	119.1%	1.4%	430.2 MB	4.1 GB	430.2 MB	4.1 GB	107.1 MB	43.8 MB	1037	340	97.1 MB	43.8 MB	165	71	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/c5/9e3653a1a8fa19257df376dca4587e	-
7	41/1d81a5	832703	deap_ingestor	EV2_06_dat_path.parquet	deap_ingestor (EV2_06_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:41.744	2026-06-30 13:13:41.761	2026-06-30 13:13:45.750	4s	3.9s	-	120.9%	1.3%	426.2 MB	4.1 GB	426.2 MB	4.1 GB	107.1 MB	43.9 MB	1037	339	8 KB	43.9 MB	212	89	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/41/1d81a533e31efd5210a3f933530e19	-
21	e1/f13dc3	833919	deap_ingestor	EV2_20_dat_path.parquet	deap_ingestor (EV2_20_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:43.931	2026-06-30 13:13:44.019	2026-06-30 13:13:47.684	3.8s	3.7s	-	106.3%	1.3%	424.9 MB	4.1 GB	424.9 MB	4.1 GB	107.1 MB	43.8 MB	1036	341	16 KB	43.8 MB	197	143	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/e1/f13dc3f6e671a4ff205af784e49b99	-
18	d0/74acc2	834746	deap_ingestor	EV2_17_dat_path.parquet	deap_ingestor (EV2_17_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:45.324	2026-06-30 13:13:45.395	2026-06-30 13:13:49.068	3.7s	3.7s	-	100.6%	1.4%	429 MB	4.1 GB	429 MB	4.1 GB	107.1 MB	44.1 MB	1036	338	0	44.1 MB	127	168	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/d0/74acc2f5164901fddec75b56d52949	-
23	2f/4367ec	834750	deap_ingestor	EV2_22_dat_path.parquet	deap_ingestor (EV2_22_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:45.343	2026-06-30 13:13:45.396	2026-06-30 13:13:49.083	3.7s	3.7s	-	103.1%	1.4%	429.7 MB	4.1 GB	429.7 MB	4.1 GB	107.1 MB	43.7 MB	1036	341	16 KB	43.7 MB	153	99	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/2f/4367ec9991684cc4f051b793efad65	-
22	7f/57e649	834549	deap_ingestor	EV2_21_dat_path.parquet	deap_ingestor (EV2_21_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:45.153	2026-06-30 13:13:45.236	2026-06-30 13:13:49.106	4s	3.9s	-	110.0%	1.3%	425.4 MB	4.1 GB	425.4 MB	4.1 GB	107.1 MB	43.9 MB	1036	338	0	43.9 MB	158	109	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/7f/57e6494a161ca3f7429b50fbc6385e	-
19	0a/5a7350	835002	deap_ingestor	EV2_18_dat_path.parquet	deap_ingestor (EV2_18_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:45.455	2026-06-30 13:13:45.513	2026-06-30 13:13:49.112	3.7s	3.5s	-	108.3%	1.4%	428.7 MB	4.1 GB	428.7 MB	4.1 GB	107.1 MB	43.7 MB	1036	338	1.1 MB	43.7 MB	169	107	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/0a/5a735074ee435496fe2eca5f191b54	-
26	fa/7e1bab	834982	deap_ingestor	EV2_25_dat_path.parquet	deap_ingestor (EV2_25_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:45.432	2026-06-30 13:13:45.512	2026-06-30 13:13:49.121	3.7s	3.5s	-	106.2%	1.4%	429.2 MB	4.1 GB	429.2 MB	4.1 GB	107.1 MB	44.3 MB	1037	339	0	44.4 MB	144	84	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/fa/7e1bab957375ff27b7aa8c892c28cb	-
20	1e/3b69aa	835495	deap_ingestor	EV2_19_dat_path.parquet	deap_ingestor (EV2_19_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:45.783	2026-06-30 13:13:45.850	2026-06-30 13:13:49.274	3.5s	3.3s	-	116.5%	1.4%	433.5 MB	4.1 GB	433.5 MB	4.1 GB	107.1 MB	44 MB	1036	338	0	44 MB	207	63	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/1e/3b69aadce37ba3ec23db3b96bd69da	-
27	e6/b92f4e	835312	deap_ingestor	EV2_26_dat_path.parquet	deap_ingestor (EV2_26_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:45.680	2026-06-30 13:13:45.751	2026-06-30 13:13:49.332	3.7s	3.6s	-	111.9%	1.4%	430.4 MB	4.1 GB	430.4 MB	4.1 GB	107.1 MB	44.4 MB	1039	338	0	44.4 MB	147	42	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/e6/b92f4e7c33d98ce633f01a86dbad49	-
28	7d/5d908a	836429	deap_ingestor	EV2_27_dat_path.parquet	deap_ingestor (EV2_27_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:47.698	2026-06-30 13:13:47.791	2026-06-30 13:13:51.674	4s	3.9s	-	110.7%	1.3%	424.2 MB	4.1 GB	424.2 MB	4.1 GB	107.1 MB	44.1 MB	1036	338	0	44.1 MB	71	143	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/7d/5d908ae2e793ad5cc116c1368442b3	-
35	8c/4eb929	838910	eda_file_finder	EV2_16_deap.parquet	eda_file_finder (EV2_16_deap.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:51.689	2026-06-30 13:13:51.775	2026-06-30 13:13:51.923	234ms	166ms	-	97.8%	0.0%	3.6 MB	7.3 MB	3.6 MB	7.3 MB	7.5 MB	888.6 KB	854	23	0	888 KB	6	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/8c/4eb929736f15372155372e29f33dfc	-
37	fe/547f58	839040	eeg_file_finder	EV2_16_deap.parquet	eeg_file_finder (EV2_16_deap.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-30 13:13:51.936	2026-06-30 13:13:52.023	2026-06-30 13:13:53.116	1.2s	1.1s	-	44.4%	0.0%	3.7 MB	7.3 MB	3.7 MB	7.3 MB	47.9 MB	41.3 MB	853	23	0	41.3 MB	6	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/EV2_analysis/work/fe/547f58fe60bad9085c7ccfdb30ac67	-
