task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch
1	3e/c37203	2576857	deap_bootstrap	kaggle_config.parquet	deap_bootstrap (kaggle_config.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:08.679	2026-06-11 13:49:08.693	2026-06-11 13:49:09.652	973ms	903ms	-	44.0%	0.0%	3.7 MB	7.3 MB	3.7 MB	7.3 MB	11.8 MB	62.2 KB	1719	123	0	128 KB	10	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/3e/c3720365032ad46d7186c7cd91db83	-
9	25/efaa46	2577025	deap_ingestor	DEAP_08_dat_path.parquet	deap_ingestor (DEAP_08_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:09.828	2026-06-11 13:49:09.853	2026-06-11 13:49:18.805	9s	8.9s	-	92.0%	1.4%	433.7 MB	4.1 GB	433.7 MB	4.1 GB	193.4 MB	64.7 MB	13987	672	8 KB	64.8 MB	193	90	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/25/efaa46c753b4a5d6676586f2dfe245	-
6	75/fa7a5e	2577373	deap_ingestor	DEAP_05_dat_path.parquet	deap_ingestor (DEAP_05_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:09.939	2026-06-11 13:49:09.955	2026-06-11 13:49:18.901	9s	8.9s	-	79.9%	1.3%	426.4 MB	4.1 GB	426.4 MB	4.1 GB	193.4 MB	65.1 MB	13993	673	0	65.2 MB	171	34	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/75/fa7a5e7ce4cbd213bbb2edae62c29a	-
5	d4/43aba2	2577047	deap_ingestor	DEAP_04_dat_path.parquet	deap_ingestor (DEAP_04_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:09.846	2026-06-11 13:49:09.953	2026-06-11 13:49:19.154	9.3s	9.2s	-	75.8%	1.3%	426.1 MB	4.1 GB	426.1 MB	4.1 GB	193.4 MB	64.5 MB	13997	664	0	64.6 MB	172	102	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/d4/43aba2442e98c2d100da16f67d755f	-
12	e1/c441f8	2577185	deap_ingestor	DEAP_11_dat_path.parquet	deap_ingestor (DEAP_11_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:09.887	2026-06-11 13:49:09.954	2026-06-11 13:49:19.639	9.8s	9.7s	-	74.6%	1.3%	426.4 MB	4.1 GB	426.4 MB	4.1 GB	193.4 MB	64.6 MB	13995	677	0	64.6 MB	162	1141	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/e1/c441f8f4e605f1913073e75511da4a	-
7	48/3fd051	2577105	deap_ingestor	DEAP_06_dat_path.parquet	deap_ingestor (DEAP_06_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:09.868	2026-06-11 13:49:09.954	2026-06-11 13:49:19.643	9.8s	9.7s	-	72.1%	1.3%	428.3 MB	4.1 GB	428.3 MB	4.1 GB	193.4 MB	64.9 MB	13989	687	0	64.9 MB	178	136	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/48/3fd05166a78ae9d98b5ab04cdf3d2b	-
17	5d/0138d9	2577244	deap_ingestor	DEAP_16_dat_path.parquet	deap_ingestor (DEAP_16_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:09.905	2026-06-11 13:49:09.955	2026-06-11 13:49:20.131	10.2s	10s	-	67.0%	1.3%	428.2 MB	4.1 GB	428.2 MB	4.1 GB	193.4 MB	64.7 MB	13994	664	0	64.8 MB	166	53	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/5d/0138d92f57c315a7e37296bc1fbe26	-
10	e6/38dbb8	2577013	deap_ingestor	DEAP_09_dat_path.parquet	deap_ingestor (DEAP_09_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:09.806	2026-06-11 13:49:09.853	2026-06-11 13:49:20.821	11s	10.9s	-	65.8%	1.3%	426 MB	4.1 GB	426 MB	4.1 GB	193.4 MB	64.8 MB	13993	662	0	64.8 MB	186	383	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/e6/38dbb82449cf9eedbfe83857cf2869	-
14	59/8ea9a2	2577317	deap_ingestor	DEAP_13_dat_path.parquet	deap_ingestor (DEAP_13_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:09.923	2026-06-11 13:49:09.955	2026-06-11 13:49:21.729	11.8s	11.7s	-	75.7%	1.3%	428.1 MB	4.1 GB	428.1 MB	4.1 GB	193.5 MB	64.4 MB	13987	663	0	64.4 MB	168	70	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/59/8ea9a2eaf9a196235970a1b4dd51cf	-
3	b6/744837	2586049	deap_ingestor	DEAP_02_dat_path.parquet	deap_ingestor (DEAP_02_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:18.827	2026-06-11 13:49:18.905	2026-06-11 13:49:26.680	7.9s	7.1s	-	94.8%	1.3%	424.4 MB	4.1 GB	424.4 MB	4.1 GB	193.5 MB	64.6 MB	13986	660	0	64.7 MB	156	122	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/b6/744837a7ae9bf20ae9b1059605d073	-
4	95/20e16d	2586268	deap_ingestor	DEAP_03_dat_path.parquet	deap_ingestor (DEAP_03_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:18.927	2026-06-11 13:49:19.001	2026-06-11 13:49:26.871	7.9s	7.9s	-	99.9%	1.0%	311.2 MB	4 GB	321.7 MB	4.1 GB	193.5 MB	65 MB	13990	678	0	65 MB	156	102	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/95/20e16debc51f6e44bbf345d38a8510	-
11	cb/d743f4	2586932	deap_ingestor	DEAP_10_dat_path.parquet	deap_ingestor (DEAP_10_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:19.192	2026-06-11 13:49:19.254	2026-06-11 13:49:26.873	7.7s	7.3s	-	104.6%	1.2%	390.2 MB	4.1 GB	390.2 MB	4.1 GB	193.5 MB	64.6 MB	13984	666	0	64.7 MB	146	50	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/cb/d743f4250bce142b121e87fe5eb7d7	-
23	e1/7282cf	2587328	deap_ingestor	DEAP_22_dat_path.parquet	deap_ingestor (DEAP_22_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:19.664	2026-06-11 13:49:19.743	2026-06-11 13:49:27.316	7.7s	7.5s	-	116.7%	0.9%	293.9 MB	3.9 GB	295.3 MB	3.9 GB	193.5 MB	64.6 MB	13998	664	0	64.6 MB	126	278	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/e1/7282cf991aa00e1811d44610be7fac	-
15	2c/7b9188	2587333	deap_ingestor	DEAP_14_dat_path.parquet	deap_ingestor (DEAP_14_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:19.681	2026-06-11 13:49:19.744	2026-06-11 13:49:27.777	8.1s	8s	-	86.8%	0.9%	293.4 MB	3.9 GB	293.4 MB	3.9 GB	193.5 MB	65 MB	13997	670	0	65.1 MB	126	321	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/2c/7b91886637448e385fc63c63cd0939	-
2	83/a7896a	2588253	deap_ingestor	DEAP_01_dat_path.parquet	deap_ingestor (DEAP_01_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:20.226	2026-06-11 13:49:20.332	2026-06-11 13:49:28.317	8.1s	7.3s	-	116.9%	1.0%	320 MB	3.9 GB	320 MB	3.9 GB	193.5 MB	64.7 MB	13986	667	0	64.7 MB	116	79	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/83/a7896ade5f0f7f19cfe20c17f5e6e5	-
8	57/509961	2588672	deap_ingestor	DEAP_07_dat_path.parquet	deap_ingestor (DEAP_07_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:20.942	2026-06-11 13:49:21.021	2026-06-11 13:49:29.065	8.1s	7.9s	-	101.1%	1.0%	319.1 MB	4 GB	319.1 MB	4 GB	193.5 MB	64.2 MB	13989	663	0	64.3 MB	134	1267	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/57/5099615538775554485ed767f6d072	-
16	f0/2b876c	2589493	deap_ingestor	DEAP_15_dat_path.parquet	deap_ingestor (DEAP_15_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:21.751	2026-06-11 13:49:21.831	2026-06-11 13:49:29.741	8s	7.8s	-	103.7%	1.0%	323 MB	4.1 GB	323 MB	4.1 GB	193.5 MB	65.1 MB	13988	664	0	65.1 MB	126	77	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/f0/2b876c3248da3e516c26d0d2646a9e	-
13	55/d8323e	2595626	deap_ingestor	DEAP_12_dat_path.parquet	deap_ingestor (DEAP_12_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:26.808	2026-06-11 13:49:26.872	2026-06-11 13:49:34.279	7.5s	7.4s	-	114.0%	1.0%	327.2 MB	4 GB	327.2 MB	4 GB	193.5 MB	64.7 MB	13990	659	0	64.8 MB	124	556	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/55/d8323ed4d26ff22b5287ac25685163	-
26	66/cc2a58	2595731	deap_ingestor	DEAP_25_dat_path.parquet	deap_ingestor (DEAP_25_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:26.893	2026-06-11 13:49:26.974	2026-06-11 13:49:34.353	7.5s	7.4s	-	104.1%	1.4%	433.1 MB	4.1 GB	433.1 MB	4.1 GB	193.5 MB	65.4 MB	13989	671	0	65.5 MB	298	88	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/66/cc2a58b2ae9f3bb3221c644ee598b6	-
27	b5/299eae	2595762	deap_ingestor	DEAP_26_dat_path.parquet	deap_ingestor (DEAP_26_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:26.908	2026-06-11 13:49:26.978	2026-06-11 13:49:34.541	7.6s	7.5s	-	116.7%	1.4%	437.1 MB	4.1 GB	437.1 MB	4.1 GB	193.5 MB	65.6 MB	13990	670	0	65.6 MB	286	90	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/b5/299eaed47695a1499569fd4ba3c494	-
20	6a/fb42ba	2596909	deap_ingestor	DEAP_19_dat_path.parquet	deap_ingestor (DEAP_19_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:27.794	2026-06-11 13:49:27.878	2026-06-11 13:49:35.047	7.3s	7s	-	106.0%	1.3%	425.7 MB	4.1 GB	425.7 MB	4.1 GB	193.5 MB	65.1 MB	13986	662	0	65.2 MB	126	22	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/6a/fb42ba112c15bc7e526723e05669f7	-
22	ab/3e1daa	2596763	deap_ingestor	DEAP_21_dat_path.parquet	deap_ingestor (DEAP_21_dat_path.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-06-11 13:49:27.557	2026-06-11 13:49:27.717	2026-06-11 13:49:35.157	7.6s	7.4s	-	99.0%	0.9%	288.3 MB	3.9 GB	288.3 MB	3.9 GB	193.5 MB	64.9 MB	13988	665	0	64.9 MB	145	600	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/study/work/ab/3e1daab7003ebe038b3d0db49c6cf1	-
